"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"140",140,1,0,0,60,180,8,600101808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"141",141,1,0,0,70,120,4,700101204,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"142",142,1,0,0,70,120,5,700101205,"10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"143",143,1,0,0,70,120,6,700101206,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"144",144,1,0,0,70,120,7,700101207,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","30% to <40%","10% to <20%","10% to <20%"
"145",145,1,0,0,70,120,8,700101208,"20% to <30%","20% to <30%","20% to <30%","20% to <30%","10% to <20%",">=40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"146",146,1,0,0,70,140,4,700101404,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"147",147,1,0,0,70,140,5,700101405,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","30% to <40%","10% to <20%","10% to <20%"
"148",148,1,0,0,70,140,6,700101406,"20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%"
"149",149,1,0,0,70,140,7,700101407,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%"
"150",150,1,0,0,70,140,8,700101408,"30% to <40%","30% to <40%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","20% to <30%"
"151",151,1,0,0,70,160,4,700101604,"20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%"
"152",152,1,0,0,70,160,5,700101605,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%"
"153",153,1,0,0,70,160,6,700101606,"30% to <40%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%"
"154",154,1,0,0,70,160,7,700101607,">=40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"155",155,1,0,0,70,160,8,700101608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"156",156,1,0,0,70,180,4,700101804,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
"157",157,1,0,0,70,180,5,700101805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"158",158,1,0,0,70,180,6,700101806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"159",159,1,0,0,70,180,7,700101807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"160",160,1,0,0,70,180,8,700101808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"161",161,1,1,1,40,120,4,401111204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"162",162,1,1,1,40,120,5,401111205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"163",163,1,1,1,40,120,6,401111206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"164",164,1,1,1,40,120,7,401111207,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"165",165,1,1,1,40,120,8,401111208,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","<10%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","20% to <30%","30% to <40%","10% to <20%","10% to <20%"
"166",166,1,1,1,40,140,4,401111404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"167",167,1,1,1,40,140,5,401111405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"168",168,1,1,1,40,140,6,401111406,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"169",169,1,1,1,40,140,7,401111407,"10% to <20%","20% to <30%","30% to <40%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"170",170,1,1,1,40,140,8,401111408,"20% to <30%",">=40%",">=40%",">=40%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","20% to <30%"
"171",171,1,1,1,40,160,4,401111604,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%"
"172",172,1,1,1,40,160,5,401111605,"10% to <20%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"173",173,1,1,1,40,160,6,401111606,"30% to <40%",">=40%","30% to <40%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","<10%","20% to <30%","10% to <20%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"174",174,1,1,1,40,160,7,401111607,">=40%",">=40%",">=40%",">=40%","30% to <40%","20% to <30%","30% to <40%","10% to <20%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%"
"175",175,1,1,1,40,160,8,401111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"176",176,1,1,1,40,180,4,401111804,">=40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%","10% to <20%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"177",177,1,1,1,40,180,5,401111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","10% to <20%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"178",178,1,1,1,40,180,6,401111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"179",179,1,1,1,40,180,7,401111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"180",180,1,1,1,40,180,8,401111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"181",181,1,1,1,50,120,4,501111204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"182",182,1,1,1,50,120,5,501111205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"183",183,1,1,1,50,120,6,501111206,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"184",184,1,1,1,50,120,7,501111207,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"185",185,1,1,1,50,120,8,501111208,"20% to <30%","10% to <20%",">=40%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","<10%","20% to <30%","20% to <30%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"186",186,1,1,1,50,140,4,501111404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"187",187,1,1,1,50,140,5,501111405,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%"
"188",188,1,1,1,50,140,6,501111406,"10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"189",189,1,1,1,50,140,7,501111407,"20% to <30%","30% to <40%",">=40%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","<10%","20% to <30%","20% to <30%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"190",190,1,1,1,50,140,8,501111408,"30% to <40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%"
"191",191,1,1,1,50,160,4,501111604,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"192",192,1,1,1,50,160,5,501111605,"20% to <30%","30% to <40%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"193",193,1,1,1,50,160,6,501111606,"30% to <40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","10% to <20%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%"
"194",194,1,1,1,50,160,7,501111607,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"195",195,1,1,1,50,160,8,501111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"196",196,1,1,1,50,180,4,501111804,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"197",197,1,1,1,50,180,5,501111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"198",198,1,1,1,50,180,6,501111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"199",199,1,1,1,50,180,7,501111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"200",200,1,1,1,50,180,8,501111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"201",201,1,1,1,60,120,4,601111204,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","<10%","<10%"
"202",202,1,1,1,60,120,5,601111205,"10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","<10%","20% to <30%","10% to <20%","<10%"
"203",203,1,1,1,60,120,6,601111206,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"204",204,1,1,1,60,120,7,601111207,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","10% to <20%",">=40%","20% to <30%","10% to <20%"
"205",205,1,1,1,60,120,8,601111208,"20% to <30%","30% to <40%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"206",206,1,1,1,60,140,4,601111404,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"207",207,1,1,1,60,140,5,601111405,"20% to <30%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","30% to <40%","20% to <30%","10% to <20%"
"208",208,1,1,1,60,140,6,601111406,"20% to <30%","20% to <30%",">=40%","20% to <30%","20% to <30%",">=40%",">=40%","10% to <20%","20% to <30%","30% to <40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"209",209,1,1,1,60,140,7,601111407,">=40%","30% to <40%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"210",210,1,1,1,60,140,8,601111408,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
"211",211,1,1,1,60,160,4,601111604,"20% to <30%","20% to <30%",">=40%","30% to <40%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"212",212,1,1,1,60,160,5,601111605,"30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"213",213,1,1,1,60,160,6,601111606,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"214",214,1,1,1,60,160,7,601111607,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"215",215,1,1,1,60,160,8,601111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"216",216,1,1,1,60,180,4,601111804,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"217",217,1,1,1,60,180,5,601111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"218",218,1,1,1,60,180,6,601111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"219",219,1,1,1,60,180,7,601111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"220",220,1,1,1,60,180,8,601111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"221",221,1,1,1,70,120,4,701111204,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"222",222,1,1,1,70,120,5,701111205,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","30% to <40%","20% to <30%","10% to <20%"
"223",223,1,1,1,70,120,6,701111206,"20% to <30%","20% to <30%",">=40%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%","20% to <30%","20% to <30%"
"224",224,1,1,1,70,120,7,701111207,"30% to <40%","30% to <40%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"225",225,1,1,1,70,120,8,701111208,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"226",226,1,1,1,70,140,4,701111404,"20% to <30%","10% to <20%",">=40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"227",227,1,1,1,70,140,5,701111405,"30% to <40%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%","30% to <40%"
"228",228,1,1,1,70,140,6,701111406,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"229",229,1,1,1,70,140,7,701111407,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"230",230,1,1,1,70,140,8,701111408,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"231",231,1,1,1,70,160,4,701111604,"30% to <40%","20% to <30%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%",">=40%","30% to <40%",">=40%",">=40%",">=40%"
"232",232,1,1,1,70,160,5,701111605,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"233",233,1,1,1,70,160,6,701111606,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"234",234,1,1,1,70,160,7,701111607,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"235",235,1,1,1,70,160,8,701111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"236",236,1,1,1,70,180,4,701111804,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"237",237,1,1,1,70,180,5,701111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"238",238,1,1,1,70,180,6,701111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"239",239,1,1,1,70,180,7,701111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"240",240,1,1,1,70,180,8,701111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"241",241,1,1,0,40,120,4,401101204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"242",242,1,1,0,40,120,5,401101205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"243",243,1,1,0,40,120,6,401101206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"244",244,1,1,0,40,120,7,401101207,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"245",245,1,1,0,40,120,8,401101208,"10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%"
"246",246,1,1,0,40,140,4,401101404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"247",247,1,1,0,40,140,5,401101405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"248",248,1,1,0,40,140,6,401101406,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"249",249,1,1,0,40,140,7,401101407,"10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"250",250,1,1,0,40,140,8,401101408,"30% to <40%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","10% to <20%"
"251",251,1,1,0,40,160,4,401101604,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"252",252,1,1,0,40,160,5,401101605,"<10%","10% to <20%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%"
"253",253,1,1,0,40,160,6,401101606,"10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"254",254,1,1,0,40,160,7,401101607,"30% to <40%","30% to <40%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"255",255,1,1,0,40,160,8,401101608,">=40%",">=40%",">=40%",">=40%","30% to <40%","20% to <30%","30% to <40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%"
"256",256,1,1,0,40,180,4,401101804,"20% to <30%","30% to <40%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","20% to <30%","20% to <30%"
"257",257,1,1,0,40,180,5,401101805,"30% to <40%",">=40%","20% to <30%",">=40%","20% to <30%","20% to <30%","30% to <40%","<10%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","30% to <40%","20% to <30%"
"258",258,1,1,0,40,180,6,401101806,">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","10% to <20%","30% to <40%","20% to <30%",">=40%",">=40%",">=40%","30% to <40%"
"259",259,1,1,0,40,180,7,401101807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"260",260,1,1,0,40,180,8,401101808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"261",261,1,1,0,50,120,4,501101204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"262",262,1,1,0,50,120,5,501101205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"263",263,1,1,0,50,120,6,501101206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"264",264,1,1,0,50,120,7,501101207,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"265",265,1,1,0,50,120,8,501101208,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","10% to <20%","<10%"
"266",266,1,1,0,50,140,4,501101404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"267",267,1,1,0,50,140,5,501101405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"268",268,1,1,0,50,140,6,501101406,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"269",269,1,1,0,50,140,7,501101407,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"270",270,1,1,0,50,140,8,501101408,"30% to <40%","20% to <30%",">=40%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","10% to <20%","20% to <30%"
"271",271,1,1,0,50,160,4,501101604,"<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%"
"272",272,1,1,0,50,160,5,501101605,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%"
"273",273,1,1,0,50,160,6,501101606,"20% to <30%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"274",274,1,1,0,50,160,7,501101607,"30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"275",275,1,1,0,50,160,8,501101608,">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"276",276,1,1,0,50,180,4,501101804,"20% to <30%","30% to <40%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"277",277,1,1,0,50,180,5,501101805,"30% to <40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","10% to <20%","30% to <40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"278",278,1,1,0,50,180,6,501101806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
