"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"603",603,0,1,0,60,120,6,601001206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"604",604,0,1,0,60,120,7,601001207,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"605",605,0,1,0,60,120,8,601001208,"10% to <20%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","<10%","20% to <30%","<10%","<10%"
"606",606,0,1,0,60,140,4,601001404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"607",607,0,1,0,60,140,5,601001405,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"608",608,0,1,0,60,140,6,601001406,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","<10%","<10%"
"609",609,0,1,0,60,140,7,601001407,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","<10%"
"610",610,0,1,0,60,140,8,601001408,"10% to <20%","10% to <20%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"611",611,0,1,0,60,160,4,601001604,"<10%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"612",612,0,1,0,60,160,5,601001605,"10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"613",613,0,1,0,60,160,6,601001606,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","20% to <30%","10% to <20%"
