"dm","gdr","smk","age","sbp","chl","refv","N_AFR_ME","CSS_AFR","ESS_AFR","SSS_AFR","WSS_AFR","SN_LAT_AME","HI_N_AME","CAR","AND_LAT_AME","CEN_LAT_AME","TRO_LAT_AME","EAS_ASI","SOU_ASI","SE_ASI","CEN_ASI","HI_ASI_PAC","WES_EUR","CEN_EUR","EAS_EUR","OCE","AUS"
0,1,0,"45-49","120-139",">=7","45-49_1_0_0_120-139_>=7",8,5,4,4,4,6,7,4,3,4,4,5,5,4,6,5,5,5,9,5,6
0,1,0,"45-49","<120",">=7","45-49_1_0_0_<120_>=7",6,3,3,3,3,4,6,3,3,3,3,3,4,3,4,4,4,4,7,4,5
0,1,0,"40-44",">=180",">=7","40-44_1_0_0_>=180_>=7",15,9,9,8,8,10,13,8,6,7,7,10,9,8,14,9,10,11,16,10,11
0,1,0,"40-44","160-179",">=7","40-44_1_0_0_160-179_>=7",11,6,6,6,6,8,10,6,5,5,5,7,7,6,9,7,7,8,12,7,8
0,1,0,"40-44","140-159",">=7","40-44_1_0_0_140-159_>=7",8,5,5,4,4,6,7,4,4,4,4,5,5,4,6,5,5,5,9,5,7
0,1,0,"40-44","120-139",">=7","40-44_1_0_0_120-139_>=7",6,3,3,3,3,4,6,3,3,3,3,3,4,3,4,4,4,4,7,4,5
0,1,0,"40-44","<120",">=7","40-44_1_0_0_<120_>=7",5,2,2,2,2,3,4,2,2,2,2,2,3,2,2,3,3,2,5,3,4
0,1,1,"70-74",">=180","<4","70-74_1_0_1_>=180_<4",45,29,28,27,28,30,35,27,21,23,23,41,28,30,58,25,34,43,43,29,32
0,1,1,"70-74","160-179","<4","70-74_1_0_1_160-179_<4",38,24,23,22,23,25,30,23,17,19,19,33,23,25,47,21,28,35,37,25,27
0,1,1,"70-74","140-159","<4","70-74_1_0_1_140-159_<4",32,20,19,18,19,21,25,19,14,16,16,27,19,20,38,18,23,28,32,21,23
0,1,1,"70-74","120-139","<4","70-74_1_0_1_120-139_<4",27,16,16,15,15,18,21,15,12,13,13,22,16,16,29,15,19,23,27,17,19
0,1,1,"70-74","<120","<4","70-74_1_0_1_<120_<4",22,13,13,12,13,15,18,12,10,11,11,18,13,13,23,13,15,18,23,14,16
0,1,1,"65-69",">=180","<4","65-69_1_0_1_>=180_<4",38,24,23,22,23,25,30,23,17,19,19,34,23,25,46,21,28,35,37,25,27
0,1,1,"65-69","160-179","<4","65-69_1_0_1_160-179_<4",31,19,19,18,18,21,25,18,14,16,16,27,19,20,36,18,23,28,31,21,22
0,1,1,"65-69","140-159","<4","65-69_1_0_1_140-159_<4",26,16,15,14,15,17,21,15,11,13,13,22,16,16,28,15,18,22,26,17,18
